,acc,corr,incorr,time
0,0.44801363922665216,66.0,81.3,9.694465470314025
1,0.4406319011651772,64.9,82.4,10.807059288024902
2,0.48204154796891274,71.0,76.3,10.532360005378724
3,0.44801363922665216,66.0,81.3,9.42223117351532
4,0.4406319011651772,64.9,82.4,9.62073540687561
5,0.4589805538858337,67.6,79.7,9.953526329994201
6,0.44801363922665216,66.0,81.3,9.942908430099488
7,0.4406319011651772,64.9,82.4,9.755232691764832
8,0.4407282513823659,64.9,82.4,10.677319002151489
9,0.45495055637797066,67.0,80.3,10.658127975463866
10,0.43929352173326774,64.7,82.6,10.674057984352112
11,0.4651310852530807,68.5,78.8,10.811344766616822
12,0.45495055637797066,67.0,80.3,11.055003118515014
13,0.43929352173326774,64.7,82.6,11.266522192955017
14,0.4590227493763381,67.6,79.7,11.147176480293274
15,0.45495055637797066,67.0,80.3,11.380753374099731
16,0.43929352173326774,64.7,82.6,11.283338117599488
17,0.48061129646476947,70.8,76.5,11.245790314674377
18,0.4480317113679099,66.0,81.3,13.47230155467987
19,0.4432976370993364,65.3,82.0,13.381954026222228
20,0.4549135896094271,67.0,80.3,13.461701726913452
21,0.4480317113679099,66.0,81.3,13.579360938072204
22,0.4432976370993364,65.3,82.0,13.823352551460266
23,0.46032749389528577,67.8,79.5,14.262790489196778
24,0.4480317113679099,66.0,81.3,13.477113747596741
25,0.4432976370993364,65.3,82.0,14.817575645446777
26,0.4576426063335509,67.4,79.9,14.201607394218446
27,0.45686133608919344,67.3,80.0,11.337080335617065
28,0.4548346226535799,67.0,80.3,11.519153499603272
29,0.4393304268047218,64.7,82.6,15.498605251312256
30,0.45554707490056445,67.1,80.2,21.656679821014404
31,0.4548346226535799,67.0,80.3,16.022950959205627
32,0.45632520859254083,67.2,80.1,14.12736189365387
33,0.4569169404847323,67.3,80.0,16.554945158958436
34,0.4555427303617206,67.1,80.2,14.573144960403443
35,0.46169207416636915,68.0,79.3,14.779043483734132
36,0.4622894100690246,68.1,79.2,13.740763640403747
37,0.45885636806934793,67.6,79.7,12.361104106903076
38,0.4712531640501356,69.4,77.9,12.85303499698639
39,0.45689338772718946,67.3,80.0,12.332582330703735
40,0.45885636806934793,67.6,79.7,12.288982796669007
41,0.46908344207977226,69.1,78.2,12.237446427345276
42,0.46096652149979755,67.9,79.4,12.625226402282715
43,0.4568610790889034,67.3,80.0,12.334142637252807
44,0.4767474798547301,70.2,77.1,12.350808215141296
45,0.46156795515293875,68.0,79.3,14.46661355495453
46,0.4561393722784935,67.2,80.1,14.670431065559388
47,0.4631169169632489,68.2,79.1,14.607055282592773
48,0.46156795515293875,68.0,79.3,14.973885250091552
49,0.4561393722784935,67.2,80.1,14.676627039909363
50,0.46514192309147184,68.5,78.8,14.52381227016449
51,0.45960125234879756,67.7,79.6,14.497623467445374
52,0.44670793861556585,65.8,81.5,14.720479512214661
53,0.46034984887829805,67.8,79.5,14.476044487953185
54,0.46217360995074486,68.1,79.2,12.338338351249694
55,0.4691064910486672,69.1,78.2,12.406415104866028
56,0.4825961948043477,71.1,76.2,12.219914746284484
57,0.466273566639388,68.7,78.6,12.480150961875916
58,0.4717721652857369,69.5,77.8,12.316849446296692
59,0.4888484902020129,72.0,75.3,12.504553771018982
60,0.4690186448178976,69.1,78.2,12.258299899101257
61,0.4650664781884407,68.5,78.8,12.467455911636353
62,0.4669916126849046,68.8,78.5,12.542623162269592
63,0.47450691962643565,69.9,77.4,12.020735621452332
64,0.4778209994256214,70.4,76.9,12.08020749092102
65,0.49292244646064853,72.6,74.7,12.114366888999939
66,0.467726738612281,68.9,78.4,12.10073664188385
67,0.4785012715344649,70.5,76.8,12.039115762710571
68,0.48206567642412523,71.0,76.3,12.209843873977661
69,0.46906952428012366,69.1,78.2,12.465132355690002
70,0.4664313669449716,68.7,78.6,12.408336734771728
71,0.4893909773921014,72.1,75.2,12.366247773170471
72,0.46220112685266246,68.1,79.2,14.541885638237
73,0.4663437160174027,68.7,78.6,14.644487690925597
74,0.4725734713407871,69.6,77.7,14.62020366191864
75,0.47034121979571114,69.3,78.0,14.627589869499207
76,0.4697221560928705,69.2,78.1,15.803638672828674
77,0.48059190315480205,70.8,76.5,14.88213894367218
78,0.46364617523360535,68.3,79.0,14.612256789207459
79,0.4575467084198529,67.4,79.9,14.593011975288391
80,0.4616370918476912,68.0,79.3,14.537928080558777
81,0.47158753695815225,69.5,77.8,12.263529086112976
82,0.4716290282508419,69.5,77.8,12.378288102149963
83,0.48810858785616623,71.9,75.4,12.394711589813232
84,0.46489558256923613,68.5,78.8,12.384544634819031
85,0.47569252706555576,70.1,77.2,12.440681648254394
86,0.4969609479549308,73.2,74.1,12.413707852363586
87,0.460841148120713,67.9,79.4,12.47213809490204
88,0.4601892051878827,67.8,79.5,12.595879983901977
89,0.48188765521658034,71.0,76.3,12.757014870643616
90,0.4831476897695035,71.2,76.1,12.155585789680481
91,0.48725734821909644,71.8,75.5,12.25431056022644
92,0.50578729230579,74.5,72.8,12.273405027389526
93,0.46490880127703604,68.5,78.8,12.354558110237122
94,0.4892984164399511,72.1,75.2,12.450163722038269
95,0.5050232049136072,74.4,72.9,12.412835550308227
96,0.4649368219676019,68.5,78.8,12.409430885314942
97,0.4663068726430383,68.7,78.6,12.381330990791321
98,0.500941438654435,73.8,73.5,12.331406426429748
99,0.4736787289582608,69.8,77.5,14.78295865058899
100,0.46552893425426245,68.6,78.7,14.64030318260193
101,0.47916315791063696,70.6,76.7,15.178867626190186
102,0.47100826809078866,69.4,77.9,14.671939730644226
103,0.470943846117417,69.4,77.9,14.961490440368653
104,0.5023116178300164,74.0,73.3,14.629533886909485
105,0.46563195265033464,68.6,78.7,14.891389775276185
106,0.4561723080996066,67.2,80.1,14.700744152069092
107,0.47112935862811883,69.4,77.9,14.795760679244996
